Symbol,CompanyName
20MICRONS,20 Microns Limited
21STCENMGM,Twentyfirst Century Management Services Limited
360ONE,360 One Wam Limited
3IINFOLTD,3i Infotech Limited
3MINDIA,3M India Limited
3PLAND,3P Land Holdings Ltd
5PAISA,5paisa Capital Limited
63MOONS,63 moons technologies limited
A2ZINFRA,A2Z Infra Engineering Limited
AAATECH,AAA Technologies Limited
AADHARHFC,Unknown
AAKASH,Aakash Exploration Services Limited
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
AARON,Aaron Industries Limited
AARTECH,Aartech Solonics Limited
AARTIDRUGS,Aarti Drugs Limited
AARTIIND,Aarti Industries Limited
AARTIPHARM,Aarti Pharmalabs Limited
AARTISURF,Aarti Surfactants Limited
AARVEEDEN,Aarvee Denims and Exports Ltd.
AARVI,Aarvi Encon Limited
AAVAS,Aavas Financiers Limited
ABAN,Aban Offshore Limited
ABB,ABB India Limited
ABBOTINDIA,Abbott India Limited
ABCAPITAL,Aditya Birla Capital Limited
ABDL,Unknown
ABFRL,Aditya Birla Fashion and Retail Limited
ABMINTLLTD,ABM International Limited
ABSLAMC,Aditya Birla Sun Life AMC Limited
ACC,ACC Limited
ACCELYA,Accelya Solutions India Limited
ACCURACY,Accuracy Shipping Limited
ACE,Action Construction Equipment Limited
ACEINTEG,Ace Integrated Solutions Limited
ACI,Archean Chemical Industries Limited
ACL,Andhra Cements Limited
ACLGATI,Allcargo Gati Limited
ADANIENSOL,Adani Energy Solutions Limited
ADANIENT,Adani Enterprises Limited
ADANIGREEN,Adani Green Energy Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIPOWER,Adani Power Limited
ADFFOODS,ADF Foods Limited
ADL,Archidply Decor Limited
ADORWELD,Ador Welding Limited
ADROITINFO,Adroit Infotech Limited
ADSL,Allied Digital Services Limited
ADVANIHOTR,Advani Hotels & Resorts (India) Limited
ADVENZYMES,Advanced Enzyme Technologies Limited
AEGISLOG,Unknown
AEROFLEX,Aeroflex Industries Limited
AETHER,Aether Industries Limited
AFFLE,Affle (India) Limited
AFIL,Unknown
AGARIND,Agarwal Industrial Corporation Limited
AGI,AGI Greenpac Limited
AGIIL,AGI Infra Limited
AGRITECH,Agri-tech (India) Limited
AGROPHOS,Agro Phos (India) Limited
AGSTRA,AGS Transact Technologies Limited
AHL,Abans Holdings Limited
AHLADA,Ahlada Engineers Limited
AHLEAST,Asian Hotels (East) Limited
AHLUCONT,Ahluwalia Contracts (India) Limited
AIAENG,AIA Engineering Limited
AIIL,Authum Investment & Infrastructure Limited
AIRAN,Airan Limited
AIROLAM,Airo Lam Limited
AJANTPHARM,Ajanta Pharma Limited
AJMERA,Ajmera Realty & Infra India Limited
AJOONI,Ajooni Biotech Limited
AKASH,Akash Infra-Projects Limited
AKG,AKG Exim Limited
AKI,AKI India Limited
AKSHAR,Akshar Spintex Limited
AKSHARCHEM,AksharChem (India) Limited
AKSHOPTFBR,Aksh Optifibre Limited
AKUMS,Unknown
AKZOINDIA,Akzo Nobel India Limited
ALANKIT,Alankit Limited
ALBERTDAVD,Albert David Limited
ALEMBICLTD,Alembic Limited
ALICON,Alicon Castalloy Limited
ALKALI,Alkali Metals Limited
ALKEM,Alkem Laboratories Limited
ALKYLAMINE,Alkyl Amines Chemicals Limited
ALLCARGO,Allcargo Logistics Limited
ALLSEC,Allsec Technologies Limited
ALMONDZ,Almondz Global Securities Limited
ALOKINDS,Alok Industries Limited
ALPA,Alpa Laboratories Limited
ALPHAGEO,Alphageo (India) Limited
ALPSINDUS,Alps Industries Limited
AMBER,Amber Enterprises India Limited
AMBICAAGAR,Ambica Agarbathies Aroma & Industries Limited
AMBIKCO,Ambika Cotton Mills Limited
AMBUJACEM,Ambuja Cements Limited
AMDIND,AMD Industries Limited
AMIORG,Ami Organics Limited
AMJLAND,AMJ Land Holdings Limited
AMNPLST,Amines & Plasticizers Limited
AMRUTANJAN,Amrutanjan Health Care Limited
ANANDRATHI,Anand Rathi Wealth Limited
